iso3,country,ai_publications,pub_year,researchers_per_million,researchers_year,population,total_researchers,top500_systems,gdp_pc_ppp
AGO,Angola,15.0,2024,18.93579,2016,37885849.0,717.39848063571,0,8901.88736611562
ALB,Albania,69.0,2024,428.69994,2022,2377128.0,1019.07463097232,0,21641.0733223921
ARE,United Arab Emirates,2718.0,2024,2606.78477,2021,10986400.0,28639.180197128004,5,69701.8047983545
ARG,Argentina,289.0,2024,1312.75278,2023,45696159.0,59987.75976257202,0,26771.9657650571
ARM,Armenia,69.0,2024,942.22095,2024,3033500.0,2858.227251825,0,20078.7848984844
AUS,Australia,7605.0,2024,4568.56658,2010,27196812.0,124250.44638574295,4,60303.9817116245
AUT,Austria,1801.0,2024,6633.64894,2023,9177982.0,60883.51056563908,0,63788.078678479
AZE,Azerbaijan,132.0,2024,1662.52798,2024,10202830.0,16962.4903501834,0,22072.1491157176
BDI,Burundi,1.0,2024,22.4816,2018,14047786.0,315.81670573760005,0,1051.25931339275
BEL,Belgium,1817.0,2024,5990.12849,2023,11858610.0,71034.5976127989,0,63347.7858809235
BFA,Burkina Faso,33.0,2024,46.5781,2010,23548781.0,1096.8574762961,0,2547.67232852209
BGR,Bulgaria,476.0,2024,2400.56923,2023,6441421.0,15463.07705007583,0,34221.5294617032
BHR,Bahrain,271.0,2024,848.94502,2024,1588670.0,1348.6934849233999,0,58891.8304860737
BIH,Bosnia and Herzegovina,128.0,2024,705.15606,2024,3164253.0,2231.29217832318,0,20527.6935527158
BLR,Belarus,112.0,2024,1567.81421,2024,9132629.0,14318.265520858089,0,29040.9725790425
BOL,Bolivia,21.0,2024,63.0569,2021,12413315.0,782.7451626234999,0,11329.1518061536
BRA,Brazil,3209.0,2024,903.20079,2014,211998573.0,191477.27861247267,10,19652.3654991704
BRN,Brunei,106.0,2024,506.18125,2022,462721.0,234.22069418124997,0,79071.7333801445
BTN,Bhutan,7.0,2024,236.30666,2024,791524.0,187.04239274984,0,14610.2959119536
BWA,Botswana,76.0,2024,179.77334,2013,2521139.0,453.23357863425997,0,18068.5050714283
CAN,Canada,8444.0,2024,5624.26883,2022,41288599.0,232218.18039006917,19,56706.8238031978
CHE,Switzerland,3310.0,2024,6107.95842,2023,9005582.0,55005.720403900435,3,82286.1801896488
CHL,Chile,577.0,2024,707.0557,2022,19764771.0,13974.7939947447,0,30182.7871224714
CHN,China,116434.0,2024,2107.27003,2023,1408975000.0,2969090.79051925,40,23845.6197217259
CIV,Cote d'Ivoire,22.0,2024,63.99303,2005,31934230.0,2043.5681384169,0,6747.03796777388
COG,Congo,41.0,2024,126.96941,2022,6332961.0,804.09232172301,0,6181.47071635967
COL,Colombia,685.0,2024,90.24729,2017,52886363.0,4772.85093870627,0,18477.2146664536
CPV,Cape Verde,3.0,2024,124.92558,2014,524877.0,65.57056365366,0,9848.95276350935
CRI,Costa Rica,71.0,2024,507.75814,2023,5129910.0,2604.7535599674,0,26973.4361580719
CUB,Cuba,48.0,2024,2171.25568,2024,10979783.0,23839.91620391744,0,
CYP,Cyprus,438.0,2024,1686.46822,2023,1358282.0,2290.69942679804,0,52635.58203125
CZE,Czechia,867.0,2024,4504.58395,2023,10905028.0,49122.614103100605,0,47963.8968485782
DEU,Germany,12793.0,2024,5926.07432,2023,83516593.0,494925.5370711917,40,62554.5547232436
DNK,Denmark,2200.0,2024,8837.51688,2023,5976992.0,52821.767691624955,0,71431.2926242287
DOM,Dominican Republic,18.0,2024,20.03771,2022,11427557.0,228.98207317447,0,24229.8894872915
DZA,Algeria,1228.0,2024,1763.99214,2024,46814308.0,82580.07135153913,0,15501.9197003966
ECU,Ecuador,454.0,2024,400.26149,2014,18135478.0,7258.9334461422195,0,13935.5391125402
EGY,Egypt,2390.0,2024,1120.22393,2024,116538258.0,130548.94537211396,0,16798.151577864
ESP,Spain,5552.0,2024,3653.80306,2023,48848840.0,178484.0410694504,3,48460.2914069661
EST,Estonia,260.0,2024,4800.4412,2023,1372341.0,6587.8422768492,0,41189.6675300734
